 Unix Time (secs) ,Temperature C , Humidity , Carbon Dioxide level (ppm) , Oxidising gases (ppm) , Reducing gases (ppm) , NH3 (ppm) , Front ultrasonic distance(mm) , rear ultrasonic distance(mm) 
1678192534816.8398,29,20,561,8871,71329,54569,186,46
1678192537692.811,29,20,562,8890,71542,54890,151,453
1678192539197.286,29,20,562,8871,70696,54409,164,999
1678192542044.006,29,20,562,8798,71329,54462,48,187
1678192543526.697,29,20,561,8798,70626,53828,1002,153
1678192546379.063,29,20,561,8743,71118,53618,164,64
1678192547825.319,29,20,561,8725,71471,53933,184,53
1678192550650.301,29,20,561,8743,71471,54356,1002,53
1678192552088.5269,29,20,560,8798,70977,54144,185,54
1678192554873.941,29,20,560,8853,71188,54676,185,53
1678192556325.1008,29,20,560,8798,71613,54250,184,53
1678192559110.291,29,20,560,8761,71329,54303,184,53
